100
84.7, 138.9, 7.4
91.3, 186.6, 19.3
5.0, 18.8, 18.9
73.6, 91.1, 2.3
96.3, 103.5, 18.5
1.4, 76.8, 6.9
22.1, 85.7, 4.3
47.5, 93.4, 13.4
9.4, 87.4, 5.8
89.6, 133.2, 5.1
15.3, 77.2, 18.7
98.4, 101.4, 14.0
66.4, 112.4, 1.8
54.5, 111.7, 11.0
10.1, 82.4, 3.2
3.3, 100.0, 4.7
4.2, 72.4, 11.0
52.7, 72.5, 11.4
37.0, 74.5, 7.7
54.5, 97.2, 2.0
51.0, 100.5, 11.2
83.0, 169.5, 4.4
63.3, 70.3, 0.4
55.8, 102.7, 11.8
16.6, 86.0, 4.0
13.1, 23.8, 10.9
24.4, 94.7, 13.2
46.8, 56.6, 10.9
63.0, 64.9, 11.2
90.9, 130.2, 2.4
50.2, 67.4, 17.3
56.4, 120.3, 2.9
4.1, 89.3, 9.7
4.7, 46.5, 5.2
94.5, 109.8, 3.3
54.9, 87.1, 5.9
2.0, 24.7, 16.4
5.8, 92.8, 9.5
60.2, 136.0, 9.1
92.6, 162.5, 13.2
87.0, 113.5, 14.9
0.1, 94.6, 10.7
46.5, 124.7, 6.8
89.3, 165.4, 15.3
69.3, 136.6, 2.4
32.9, 34.8, 7.9
44.9, 106.2, 16.3
15.3, 19.6, 6.0
77.3, 152.5, 1.4
26.9, 95.9, 9.9
76.0, 104.9, 17.6
9.8, 28.9, 12.1
87.6, 125.0, 13.7
79.2, 124.6, 8.0
40.3, 119.7, 19.6
91.3, 170.4, 17.5
34.2, 83.8, 1.4
72.4, 91.4, 14.4
2.1, 52.6, 6.1
45.8, 117.5, 11.4
48.5, 93.0, 3.5
27.6, 43.9, 15.9
58.2, 80.9, 18.8
76.3, 175.4, 12.1
74.2, 137.8, 9.5
4.3, 44.1, 12.0
70.8, 101.5, 15.6
43.0, 43.3, 16.2
69.0, 122.8, 2.7
33.9, 50.0, 6.8
26.4, 47.6, 13.2
66.5, 92.8, 0.9
50.1, 52.9, 3.1
70.0, 157.4, 6.1
96.0, 123.6, 14.3
20.6, 111.6, 14.3
15.4, 52.7, 2.1
60.9, 103.8, 17.8
71.1, 91.8, 18.8
52.6, 132.1, 13.5
93.9, 127.8, 16.0
48.1, 134.2, 19.0
41.9, 90.3, 8.8
29.3, 123.3, 16.7
75.9, 174.9, 15.2
46.3, 142.5, 7.9
10.0, 47.0, 3.6
21.3, 28.6, 8.3
93.1, 113.4, 2.2
62.2, 94.8, 19.1
8.8, 66.0, 4.5
14.6, 102.5, 16.7
79.8, 115.7, 0.7
21.0, 95.8, 3.4
69.6, 115.8, 1.5
32.6, 73.2, 11.8
52.3, 123.9, 7.4
20.2, 48.6, 18.5
95.3, 119.9, 5.4
34.5, 125.3, 4.0
